date,open,high,low,close,volume
2021-12-10,208.880636,209.491673,205.233215,206.727905,32924543
2021-12-13,205.922207,206.544528,202.485299,203.706368,33478398
2021-12-14,202.329719,205.101875,201.132222,201.952554,36543485
2021-12-15,201.980842,205.705338,199.029532,205.15845,51261021
2021-12-16,206.921692,207.346002,200.132737,201.009644,52743794
2021-12-17,200.085592,204.94158,198.294062,202.857748,63114782
2021-12-20,199.981872,200.783345,196.84198,200.010159,49993003
2021-12-21,201.971413,205.917493,199.954527,205.724196,38545265
2021-12-22,205.431894,207.770312,204.73414,207.704308,32442011
2021-12-23,208.430349,210.080442,207.760883,209.36383,22125391
2021-12-27,209.646703,211.433519,208.006039,211.325084,24196655
2021-12-28,211.013924,212.84317,209.656133,210.033297,23120267
2021-12-29,210.005009,210.731145,208.623646,210.259595,19444392
2021-12-30,210.21245,212.560297,209.986151,210.203021,23607696
2021-12-31,209.78814,211.325084,209.693849,209.750424,23997427
2022-01-03,210.938491,213.748364,210.014439,212.456577,30618792
2022-01-04,213.097756,214.163244,210.62733,212.135987,22013134
2022-01-05,212.032267,213.012894,204.913293,204.95101,40582077
2022-01-06,205.384748,207.836315,203.498928,206.120218,39105870
2022-01-07,206.120218,207.798599,203.597933,203.734655,31583886
2022-01-10,202.508872,203.088761,199.057819,203.027472,45778073
2022-01-11,203.178338,205.394177,200.802204,205.186737,35209892
2022-01-12,206.044786,206.855689,202.386293,203.659222,35284512
2022-01-13,204.432409,205.733625,201.198226,201.79226,34489556
2022-01-14,199.887581,202.159995,198.558077,202.075133,42020871
2022-01-18,200.085592,200.31189,195.6822,195.965073,49512155
2022-01-19,196.889125,197.502017,192.712032,192.778036,46209065
2022-01-20,193.654943,197.058849,188.893245,189.289267,50465974
2022-01-21,188.355786,191.429674,185.743924,185.743924,85821001
2022-01-24,182.990626,190.835641,180.31276,190.024738,85903216
2022-01-25,187.148861,190.185032,183.452652,187.488309,61088549
2022-01-26,190.260465,191.929417,182.660607,184.782156,71471745
2022-01-27,186.347387,188.21435,179.71967,180.586204,59829045
2022-01-28,180.755928,184.159835,177.352021,184.10326,65869951
2022-01-31,183.292357,189.751294,182.783186,189.751294,53393759
2022-02-01,190.147316,191.948275,186.663262,191.750264,43429351
2022-02-02,191.99542,192.259435,187.912618,189.845585,42777817
2022-02-03,187.488309,189.751294,185.800499,186.253096,39629365
2022-02-04,185.79107,188.676376,183.7921,187.05457,34291072
2022-02-07,187.101715,189.675861,186.686835,187.978622,33242576
2022-02-08,188.082342,191.523965,187.978622,191.184517,28341923
2022-02-09,192.891185,194.852439,192.636599,194.814723,27329310
2022-02-10,191.316525,197.115424,190.581055,191.825696,44788095
