date,open,high,low,close,volume
2021-12-10,61.702292,61.937663,60.56902,61.46692,7176804
2021-12-13,61.29257,61.29257,59.828034,59.932644,7269593
2021-12-14,59.984949,61.371028,59.976231,60.481845,8418284
2021-12-15,60.917719,61.519225,60.037254,60.952589,11287669
2021-12-16,61.780749,62.504299,60.877008,61.065916,11374592
2021-12-17,60.664912,60.943871,58.986798,59.583945,11934145
2021-12-20,58.948126,58.965662,57.397219,58.579864,15699830
2021-12-21,59.342692,60.500085,59.195387,60.377331,9048927
2021-12-22,60.245809,60.89465,59.91262,60.842042,6390535
2021-12-23,61.280448,61.867913,61.13139,61.376897,5719397
2021-12-27,61.569796,62.288783,61.017492,62.271246,4703326
2021-12-28,62.034507,62.744725,61.920521,62.315087,4994161
2021-12-29,62.35016,62.626356,62.016971,62.429073,4811306
2021-12-30,62.499218,63.156827,62.087993,62.139724,5354288
2021-12-31,61.955594,62.437841,61.806536,62.122188,5061818
2022-01-03,62.77103,63.972263,62.718421,63.279581,10317298
2022-01-04,64.03364,65.690816,63.968756,65.068279,14100254
2022-01-05,65.261178,65.980165,64.5948,64.647409,11361922
2022-01-06,65.541758,67.291,65.278714,67.093717,15322847
2022-01-07,67.207703,67.891617,66.734224,67.751327,13338853
2022-01-10,68.093284,68.347559,66.75176,67.646109,13939887
2022-01-11,67.891617,67.952993,66.707919,67.882848,9563112
2022-01-12,68.066979,68.566762,67.488283,68.066979,12222791
2022-01-13,68.286182,69.022705,68.180965,68.470313,10050555
2022-01-14,67.698718,69.101618,67.181398,69.075314,14618525
2022-01-18,68.864879,69.092762,67.435674,67.611036,13382529
2022-01-19,67.935457,68.040675,65.725977,65.76973,15228248
2022-01-20,65.778498,66.61147,63.849509,64.042408,16739835
2022-01-21,63.831973,64.472047,62.639508,62.788566,19431028
2022-01-24,61.736391,63.902118,61.055633,63.665379,18000201
2022-01-25,63.060378,64.401902,61.780231,63.61277,17121742
2022-01-26,64.252843,64.866612,62.214254,63.262045,16066793
2022-01-27,63.717988,64.765779,61.385665,61.929289,17193521
2022-01-28,61.929289,62.262478,60.640375,62.262478,16218031
2022-01-31,61.797767,62.797334,60.964795,62.779798,12488104
2022-02-01,62.876247,63.867046,62.104652,63.726756,10643635
2022-02-02,63.770596,63.831973,62.819254,63.560161,8846375
2022-02-03,63.621538,64.401902,63.042842,63.1919,12916887
2022-02-04,63.586466,64.862228,63.279581,64.401902,12373259
2022-02-07,64.515887,65.072663,64.077481,64.708786,7488342
2022-02-08,65.313787,66.510636,65.25241,66.313354,11549866
2022-02-09,66.664079,66.699151,65.53299,65.752193,8561555
2022-02-10,65.638208,66.848209,65.212953,65.594367,12356162
2022-02-11,65.182265,66.624622,64.638641,65.050743,14612522
2022-02-14,65.296251,65.918788,63.981645,64.542192,8977203
2022-02-15,65.340091,66.357194,65.173497,66.269513,8694797
2022-02-16,65.81357,66.742992,65.62944,66.392267,6592466
2022-02-17,65.708353,65.81357,64.244075,64.366829,8293030
2022-02-18,64.121321,65.182265,64.121321,64.480815,9580684
