date,open,high,low,close,volume
2021-12-10,36.048627,36.057804,35.608298,35.837548,38899850
2021-12-13,35.754952,35.764129,35.332793,35.452099,44338537
2021-12-14,35.397035,35.929321,35.369503,35.663178,51734388
2021-12-15,35.754952,35.869668,35.314439,35.764129,70424908
2021-12-16,36.17711,36.470785,35.988974,36.213819,71156600
2021-12-17,35.975208,36.021095,35.195133,35.41539,97801910
2021-12-20,34.866172,34.91228,34.312887,34.727851,85242261
2021-12-21,35.078265,35.60241,35.078265,35.447122,57667861
2021-12-22,35.345686,35.640771,35.290358,35.613107,49702741
2021-12-23,35.815978,36.115674,35.779093,35.797535,39057328
2021-12-27,35.908192,36.166392,35.723764,36.166392,36120273
2021-12-28,36.101842,36.415278,36.092621,36.184835,34055239
2021-12-29,36.258606,36.360042,36.092621,36.138728,27150504
2021-12-30,36.249385,36.452256,35.959279,36.074178,30089129
2021-12-31,36.000407,36.189446,35.935857,36.009628,28497790
2022-01-03,36.277049,36.590577,36.258606,36.452256,49884422
2022-01-04,36.876441,37.531162,36.857998,37.411283,74210177
2022-01-05,37.52194,37.71559,36.950212,36.977877,76288355
2022-01-06,37.365176,37.549604,37.023984,37.52194,57725155
2022-01-07,37.604933,38.056782,37.471222,37.964568,62185450
2022-01-10,38.204325,38.231989,37.438947,37.835468,73620239
2022-01-11,37.973789,38.185882,37.618765,38.167439,60706271
2022-01-12,38.268875,38.411807,38.010675,38.195103,51560590
2022-01-13,38.250432,38.450998,37.91385,38.047561,51659563
2022-01-14,37.438947,37.683315,37.19458,37.65104,81135462
2022-01-18,37.402062,37.438947,36.581356,36.811891,82556556
2022-01-19,37.088534,37.111587,36.161781,36.194056,85975120
2022-01-20,36.295492,36.765784,35.88975,35.963521,80314021
2022-01-21,35.815978,35.917414,35.078265,35.225808,117914259
2022-01-24,34.617194,35.401015,33.953252,35.327243,169203858
2022-01-25,34.930722,35.732986,34.354384,35.474786,97364909
2022-01-26,35.862085,36.157171,35.142815,35.567,106681998
2022-01-27,35.908192,36.277049,35.013715,35.24425,91498935
2022-01-28,35.105929,35.714543,34.663301,35.705321,79753586
2022-01-31,35.456343,36.046514,35.24425,36.018849,58740942
2022-02-01,36.064956,36.604409,35.880528,36.516806,64601491
2022-02-02,36.498363,36.825723,36.267828,36.765784,46649415
2022-02-03,36.756563,36.885662,36.304713,36.360042,50676954
2022-02-04,36.424592,37.291405,36.406149,36.977877,77792442
2022-02-07,37.023984,37.32829,36.816502,37.088534,52710433
2022-02-08,37.346733,37.697147,37.254519,37.604933,56921248
2022-02-09,37.807804,38.093668,37.71559,37.84469,67505320
