date,open,high,low,close,volume
2021-12-10,29.712532,29.892804,29.596367,29.751254,11701908
2021-12-13,29.721137,30.263242,29.721137,30.11696,13750147
2021-12-14,30.112657,30.172891,29.794278,29.936258,17502693
2021-12-15,29.901839,30.452549,29.901839,30.426734,22682461
2021-12-16,30.396617,30.766626,30.370803,30.581622,15104625
2021-12-17,30.465456,30.616041,30.056726,30.121262,21837076
2021-12-20,29.833147,30.180044,29.588151,30.14969,15045766
2021-12-21,30.245087,30.442385,29.945888,30.106328,16177936
2021-12-22,30.05863,30.279777,30.015268,30.236415,9483878
2021-12-23,30.25376,30.388182,30.199557,30.232079,7252838
2021-12-27,30.245087,30.37951,30.154027,30.37951,7853685
2021-12-28,30.422872,30.661364,30.401191,30.652691,8052724
2021-12-29,30.687381,30.865166,30.635346,30.817467,6877849
2021-12-30,30.899855,30.960562,30.704726,30.930209,9336214
2021-12-31,30.865166,31.147019,30.804459,31.038614,9309400
2022-01-03,31.025606,31.033151,30.377342,30.730743,21649843
2022-01-04,30.730743,31.027774,30.626674,30.635346,14661086
2022-01-05,30.613665,30.96273,30.587648,30.618001,22243223
2022-01-06,30.618001,30.743752,30.266768,30.301458,18129909
2022-01-07,30.236415,30.678708,30.049958,30.531277,19636027
2022-01-10,30.50526,30.548622,30.182212,30.331811,15585002
2022-01-11,30.305794,30.418536,29.856996,30.05863,16826875
2022-01-12,29.963233,30.233813,29.876509,30.154027,14056795
2022-01-13,30.141018,30.418536,30.123673,30.301458,16974483
2022-01-14,30.301458,30.357829,29.941552,30.09332,16273792
2022-01-18,29.872173,29.924207,29.499258,29.733414,17767514
2022-01-19,29.742086,30.131825,29.733414,29.867837,16025789
2022-01-20,29.958897,30.340484,29.872173,29.906863,14764809
2022-01-21,30.054294,30.210397,29.791953,29.850492,24271460
2022-01-24,29.815802,29.911199,28.805464,29.564302,28801130
2022-01-25,29.104663,29.45156,28.965904,29.100327,26109257
2022-01-26,29.156698,29.471073,28.701395,28.861835,24617081
2022-01-27,29.13068,29.481914,28.974577,29.117672,22490975
2022-01-28,29.03962,29.493231,28.818473,29.468905,25025224
2022-01-31,29.295456,30.054294,29.234749,30.028276,26289979
2022-02-01,29.945888,30.106328,29.353995,29.629345,20510121
2022-02-02,29.607664,30.110665,29.555629,30.067302,22861871
2022-02-03,29.980578,30.119337,29.850492,29.93288,17144858
2022-02-04,29.672707,29.958897,29.395189,29.694388,18514553
2022-02-07,29.642354,29.77244,29.468905,29.651026,13771924
2022-02-08,29.77244,29.867837,29.598991,29.672707,19426621
2022-02-09,29.885181,29.954561,29.711733,29.802793,17615853
2022-02-10,29.507931,29.648858,28.987542,29.048292,22530023
2022-02-11,29.174042,29.390853,28.937719,29.065637,18029856
2022-02-14,29.161034,29.208732,28.540955,28.818473,18556133
2022-02-15,28.996258,29.108999,28.553964,28.68405,17087517
2022-02-16,28.723076,28.872676,28.46724,28.749094,16092297
2022-02-17,28.619007,28.903029,28.415205,28.766438,14579934
2022-02-18,28.671042,28.952896,28.584317,28.714404,16843509
2022-02-22,28.818473,28.887852,28.488921,28.68405,17210858
2022-02-23,28.736085,28.822809,28.168041,28.198395,17291770
2022-02-24,28.016274,28.47808,27.874696,28.423878,28659993
2022-02-25,28.675378,29.338819,28.610335,29.304129,21264120
2022-02-28,29.126344,29.499258,29.091654,29.455896,18352588
2022-03-01,29.395189,29.651026,28.981081,29.20006,16732393
2022-03-02,29.213068,29.664035,29.197892,29.555629,14629875
2022-03-03,29.672707,30.223406,29.64669,30.075975,20735614
2022-03-04,29.997923,30.765433,29.937216,30.739415,24342246
2022-03-07,30.808795,31.205558,30.548622,31.138347,30972041
2022-03-08,31.220735,31.381175,30.644019,30.657027,26564855
2022-03-09,30.878174,30.921536,30.383846,30.440217,25476875
2022-03-10,30.210397,30.704726,30.188716,30.644019,17019884
2022-03-11,30.691717,30.895519,30.509596,30.53995,12494214
2022-03-14,30.735079,30.891183,30.349156,30.50526,20502285
2022-03-15,30.800122,30.960562,30.622338,30.895519,14502212
2022-03-16,30.856493,30.990916,30.401191,30.839148,20005940
2022-03-17,30.856493,31.190382,30.795786,30.969235,15915221
2022-03-18,30.969235,31.107994,30.635346,30.704726,18519033
2022-03-21,30.748155,31.053759,30.739424,30.909665,18147160
2022-03-22,31.027525,31.027525,30.706686,30.953317,14643197
