time_utc,open,high,low,close,volume
2026-08-11T14:55,722.2,722.4099,721.68,721.79,263428
2026-08-11T15:00,721.8,722.14,721.66,721.765,176218
2026-08-11T15:05,721.76,721.775,720.26,720.28,658193
2026-08-11T15:10,720.27,720.6,720.035,720.25,304780
2026-08-11T15:15,720.22,720.38,719.89,720.1399,166304
2026-08-11T15:20,720.16,720.8,720.0,720.0695,238790
2026-08-11T15:25,720.105,720.46,719.99,719.99,139484
2026-08-11T15:30,720.035,720.365,719.11,719.3,241387
2026-08-11T15:35,719.31,719.77,719.135,719.225,218351
2026-08-11T15:40,719.205,719.82,719.1,719.77,218388
2026-08-11T15:45,719.775,719.775,719.18,719.2001,143013
2026-08-11T15:50,719.18,719.58,719.01,719.12,141411
2026-08-11T15:55,719.12,719.35,718.9716,719.0699,134885
2026-08-11T16:00,719.08,719.3255,718.68,718.7684,195291
2026-08-11T16:05,718.79,719.45,718.76,719.43,232849
2026-08-11T16:10,719.4499,719.46,718.72,718.75,218070
2026-08-11T16:15,718.77,719.18,718.61,718.67,118663
2026-08-11T16:20,718.69,718.97,718.48,718.54,203926
2026-08-11T16:25,718.53,718.63,718.035,718.63,369195
2026-08-11T16:30,718.61,718.71,718.267,718.32,202734
2026-08-11T16:35,718.3,719.07,718.28,718.98,305826
2026-08-11T16:40,718.98,718.98,718.33,718.385,562813
2026-08-11T16:45,718.3995,718.42,717.93,718.28,243938
2026-08-11T16:50,718.29,718.52,718.26,718.48,245428
2026-08-11T16:55,718.49,718.51,718.045,718.14,314336
2026-08-11T17:00,718.14,718.3272,717.61,717.655,391776
2026-08-11T17:05,717.63,718.05,717.555,717.82,298157
2026-08-11T17:10,717.81,717.81,716.95,716.98,281434
2026-08-11T17:15,716.96,717.66,716.87,717.5,246880
2026-08-11T17:20,717.53,717.9,717.32,717.68,227631
2026-08-11T17:25,717.68,717.92,717.48,717.66,265451
2026-08-11T17:30,717.668,717.85,717.5,717.85,208947
2026-08-11T17:35,717.8412,718.19,717.635,717.8109,368021
2026-08-11T17:40,717.745,718.42,717.74,718.335,263301
2026-08-11T17:45,718.335,718.47,718.09,718.21,123096
2026-08-11T17:50,718.235,718.46,718.235,718.43,187456
2026-08-11T17:55,718.44,718.45,718.06,718.19,167332
2026-08-11T18:00,718.2009,718.36,717.95,718.245,320513
2026-08-11T18:05,718.22,718.3172,717.55,717.63,218785
