time_utc,open,high,low,close,volume
2026-08-11T14:55,301.48,301.54,301.245,301.33,287013
2026-08-11T15:00,301.33,301.415,301.2,301.26,68753
2026-08-11T15:05,301.28,301.29,300.96,301.01,79207
2026-08-11T15:10,300.965,301.28,300.965,301.195,175143
2026-08-11T15:15,301.17,301.17,300.815,300.925,282391
2026-08-11T15:20,300.93,301.1699,300.83,300.99,182628
2026-08-11T15:25,301.02,301.02,300.89,300.955,115347
2026-08-11T15:30,300.92,301.0,300.675,300.725,113364
2026-08-11T15:35,300.74,300.85,300.62,300.675,150142
2026-08-11T15:40,300.67,300.8199,300.6,300.76,134414
2026-08-11T15:45,300.76,300.87,300.695,300.83,101219
2026-08-11T15:50,300.84,301.0,300.83,300.965,614179
2026-08-11T15:55,300.96,301.1,300.96,301.04,73970
2026-08-11T16:00,301.06,301.25,301.06,301.225,211540
2026-08-11T16:05,301.2,301.35,301.16,301.35,73259
2026-08-11T16:10,301.36,301.3959,301.27,301.28,68891
2026-08-11T16:15,301.27,301.535,301.265,301.415,91388
2026-08-11T16:20,301.43,301.572,301.3,301.33,91237
2026-08-11T16:25,301.31,301.4,301.24,301.25,78880
2026-08-11T16:30,301.2,301.21,300.96,301.06,86427
2026-08-11T16:35,301.048,301.325,301.04,301.185,89397
2026-08-11T16:40,301.215,301.295,301.18,301.2025,26778
2026-08-11T16:45,301.2,301.36,301.08,301.33,72247
2026-08-11T16:50,301.3501,301.39,301.26,301.33,52542
2026-08-11T16:55,301.3458,301.425,301.245,301.285,100556
2026-08-11T17:00,301.3,301.36,301.15,301.18,208269
2026-08-11T17:05,301.14,301.335,301.13,301.25,64636
2026-08-11T17:10,301.24,301.325,301.1,301.1,143186
2026-08-11T17:15,301.055,301.235,301.055,301.17,67609
2026-08-11T17:20,301.18,301.3,301.13,301.25,94039
2026-08-11T17:25,301.26,301.315,301.15,301.26,70832
2026-08-11T17:30,301.26,301.28,301.17,301.28,42708
2026-08-11T17:35,301.29,301.38,301.225,301.3,75888
2026-08-11T17:40,301.295,301.47,301.29,301.325,86375
2026-08-11T17:45,301.32,301.405,301.255,301.34,54561
2026-08-11T17:50,301.35,301.395,301.255,301.295,65124
2026-08-11T17:55,301.32,301.355,301.215,301.335,81658
2026-08-11T18:00,301.315,301.36,301.24,301.32,57657
2026-08-11T18:05,301.325,301.44,301.32,301.37,96807
2026-08-11T18:10,301.38,301.52,301.34,301.495,104949
2026-08-11T18:15,301.5,301.585,301.45,301.475,73321
2026-08-11T18:20,301.46,301.47,301.34,301.41,227947
2026-08-11T18:25,301.41,301.42,300.94,300.98,164687
2026-08-11T18:30,301.0,301.33,300.97,301.23,266237
2026-08-11T18:35,301.25,301.435,301.25,301.32,201225
2026-08-11T18:40,301.32,301.32,301.0711,301.16,163083
2026-08-11T18:45,301.17,301.395,301.17,301.39,419037
2026-08-11T18:50,301.39,301.4,301.23,301.335,384198
2026-08-11T18:55,301.32,301.34,301.24,301.26,100643
2026-08-11T19:00,301.26,301.2997,301.0751,301.1,97137
2026-08-11T19:05,301.095,301.125,301.01,301.08,87744
2026-08-11T19:10,301.08,301.295,301.05,301.19,371618
2026-08-11T19:15,301.19,301.35,301.12,301.325,166106
2026-08-11T19:20,301.33,301.465,301.3,301.34,287593
2026-08-11T19:25,301.335,301.35,301.255,301.27,195914
2026-08-11T19:30,301.28,301.38,301.125,301.155,126697
2026-08-11T19:35,301.14,301.27,301.03,301.19,469995
2026-08-11T19:40,301.195,301.195,300.985,301.02,98396
2026-08-11T19:45,301.02,301.11,300.945,301.06,273221
2026-08-11T19:50,301.07,301.13,300.95,301.0099,410399
2026-08-11T19:55,301.01,301.115,300.865,300.99,1246881
2026-08-12T13:30,303.25,303.4,302.35,303.105,827934
