date,open,high,low,close,volume
2021-12-10,97.777553,97.944551,97.26728,97.740442,8304104
2021-12-13,97.517777,97.703331,96.562175,96.729174,12690151
2021-12-14,96.209623,97.14667,95.430298,95.810683,13174192
2021-12-15,96.070458,96.775562,95.430298,96.645675,16908591
2021-12-16,97.26728,97.689415,96.348789,96.692063,11866226
2021-12-17,96.673508,96.78484,95.012802,95.040635,19378570
2021-12-20,93.881202,93.895358,92.717116,93.518008,17968338
2021-12-21,94.216459,95.572386,94.179208,95.380545,10497409
2021-12-22,95.333982,95.813585,95.175666,95.650613,8296959
2021-12-23,95.995182,97.09408,95.976557,96.777448,7047147
2021-12-27,96.926451,97.839095,96.786761,97.801844,5196036
2021-12-28,97.708717,98.542202,97.652841,98.295416,5368611
2021-12-29,98.146413,98.686549,98.025348,98.472357,5922255
2021-12-30,98.574797,99.059057,98.039317,98.118475,6190484
2021-12-31,97.950847,98.928679,97.839095,98.537546,7726054
2022-01-03,98.742425,98.956617,97.219801,97.727342,10188348
2022-01-04,98.360605,99.878573,98.248853,99.692319,14572846
2022-01-05,99.953075,100.465272,98.700518,98.742425,16196111
2022-01-06,99.086995,99.557285,98.695862,99.198747,10437826
2022-01-07,99.226685,99.83201,99.133558,99.170809,11614853
2022-01-10,98.928679,99.012493,97.289646,98.053286,15670966
2022-01-11,98.155726,98.751738,97.09408,98.639986,11966568
2022-01-12,99.059057,99.459502,98.639986,98.956617,9938019
2022-01-13,99.226685,100.055514,98.821583,99.170809,10995428
2022-01-14,98.267478,98.658611,97.573683,98.574797,14758641
2022-01-18,97.652841,97.848407,96.879888,97.438649,13878211
2022-01-19,97.699404,97.829782,96.269907,96.349065,13367047
2022-01-20,96.535318,97.52712,94.994069,95.11979,16726064
2022-01-21,95.129103,95.841523,93.87189,94.244397,33329845
2022-01-24,92.670553,94.924223,91.310901,94.784533,37364348
2022-01-25,93.136187,94.63553,91.60425,93.853264,28146076
2022-01-26,94.3934,95.445734,92.083854,93.033748,27633726
2022-01-27,93.806701,94.579654,91.599594,92.204919,23186076
2022-01-28,91.813786,92.856807,90.277192,92.847494,22967164
2022-01-31,92.223544,93.918453,92.009352,93.816014,12183184
2022-02-01,94.402713,95.417796,93.834639,95.110477,17200877
2022-02-02,94.989412,95.967244,94.598279,95.771678,14199158
2022-02-03,95.11979,95.566799,94.11402,94.244397,14007507
2022-02-04,93.722887,94.15127,92.456361,93.229314,16025205
2022-02-07,93.471444,94.030205,92.977872,93.303816,10452097
2022-02-08,93.545946,94.421338,93.173438,94.235085,10376506
2022-02-09,95.026663,95.659926,94.998725,95.529548,13166307
2022-02-10,94.402713,95.697176,93.480757,93.965017,15559990
2022-02-11,93.992955,94.430651,92.074541,92.530863,18726857
2022-02-14,92.66124,92.917339,91.450591,92.186293,15297367
2022-02-15,93.098937,93.974329,93.043061,93.573884,10542100
2022-02-16,93.322441,94.3934,93.089624,94.067456,8222551
2022-02-17,93.322441,93.52732,92.186293,92.344609,10912273
2022-02-18,92.176981,92.875432,91.282963,91.580969,11969702
2022-02-22,91.51578,92.046603,90.202691,90.696263,16809514
2022-02-23,91.087396,91.236399,88.884946,89.029292,16296321
2022-02-24,87.716203,90.361007,86.980501,90.16544,27356090
2022-02-25,90.379632,92.62399,90.333068,92.316671,13511738
2022-02-28,91.459904,93.210689,91.41334,93.024435,18310701
2022-03-01,92.689178,93.275878,91.040833,91.636845,21884815
2022-03-02,92.083854,94.039518,91.953476,93.592509,16881399
2022-03-03,94.281648,94.533091,93.28519,93.694949,14831560
2022-03-04,92.745055,93.601822,92.195606,93.49007,17167408
2022-03-07,93.192064,93.867233,90.957019,90.984957,16533896
2022-03-08,91.208461,92.856807,90.342381,90.426195,22316849
2022-03-09,92.018665,92.76368,91.646157,92.065228,18757368
2022-03-10,90.910455,92.121104,90.826641,91.944163,13317230
2022-03-11,92.474987,93.043061,91.152585,91.208461,10695301
2022-03-14,91.75791,92.512237,90.873204,91.51578,12988137
2022-03-15,92.353922,93.154813,91.79516,92.968559,11204860
2022-03-16,93.555258,94.365462,92.335296,94.197834,15840898
